Id,DistrictId,Rooms,Square,LifeSquare,KitchenSquare,Floor,HouseFloor,HouseYear,Ecology_1,Ecology_2,Ecology_3,Social_1,Social_2,Social_3,Healthcare_1,Helthcare_2,Shops_1,Shops_2,Price,Ecology_2_A,Ecology_2_B,Ecology_3_A,Ecology_3_B,Shops_2_A,Shops_2_B,Ecology_2_A,Ecology_2_B,Ecology_3_A,Ecology_3_B,Shops_2_A,Shops_2_B
2829,57,1.0,44.51348081256669,23.113423134573804,8.0,6,12.0,1983,0.13321533300000002,B,B,49,11395,3,1406.0,3,4,A,183743.23046424173,0,1,0,1,1,0,0,1,0,1,1,0
4909,19,3.0,110.95979224728356,56.996764901321505,11.0,16,25.0,2012,0.000991363,B,B,33,6783,3,900.0,1,9,B,394895.32598680095,0,1,0,1,0,1,0,1,0,1,0,1
8862,0,3.0,103.60529197422831,47.799426262469524,10.0,12,17.0,2002,0.319809354,B,B,25,4756,16,2857.0,5,8,B,521919.0573998705,0,1,0,1,0,1,0,1,0,1,0,1
11935,27,2.0,64.71183493873933,32.78126,6.0,15,6.0,1977,0.211401214,B,B,9,1892,0,900.0,0,1,B,127200.02651097006,0,1,0,1,0,1,0,1,0,1,0,1
11852,48,1.0,41.668649656506325,20.207761889892915,10.0,19,22.0,1996,0.041124634,B,B,46,9515,5,900.0,1,10,B,215083.96905610108,0,1,0,1,0,1,0,1,0,1,0,1
6641,54,3.0,118.90761184257369,32.78126,6.0,2,6.0,1977,0.006076152,B,B,30,5285,0,645.0,6,6,B,571069.0526003882,0,1,0,1,0,1,0,1,0,1,0,1
7704,150,3.0,62.180535989371776,44.169694075407364,6.0,4,5.0,1964,0.020741326,B,B,24,5613,5,1340.0,2,5,B,241718.0995266293,0,1,0,1,0,1,0,1,0,1,0,1
5073,74,2.0,82.66791473448255,32.78126,6.0,16,17.0,1977,0.075778755,B,B,6,1437,3,900.0,0,2,B,244145.8270685723,0,1,0,1,0,1,0,1,0,1,0,1
4378,27,3.0,106.95887123511149,87.22682123511149,6.0,17,6.0,2018,0.072157581,B,B,2,629,1,900.0,0,0,A,337299.86793644377,0,1,0,1,1,0,0,1,0,1,1,0
7550,23,2.0,64.55620925344805,32.78126,6.0,8,17.0,1977,0.075778755,B,B,6,1437,3,900.0,0,2,B,173910.92372317292,0,1,0,1,0,1,0,1,0,1,0,1
8054,23,1.0,42.53004325868857,22.79799325868857,6.0,3,9.0,2014,0.034656082000000005,B,B,0,168,0,900.0,0,0,B,95338.19854860756,0,1,0,1,0,1,0,1,0,1,0,1
522,11,2.0,48.37223191245333,31.00758147862463,6.0,4,9.0,1972,0.00016967599999999998,B,B,36,5992,0,900.0,1,1,B,213374.16640304858,0,1,0,1,0,1,0,1,0,1,0,1
89,50,2.0,39.43535081853332,23.37768698871145,7.0,9,9.0,1965,0.007658515,B,B,35,7077,56,2301.0,3,19,B,283877.6171417454,0,1,0,1,0,1,0,1,0,1,0,1
4785,61,1.0,41.7651555000357,19.343185677164602,9.0,12,16.0,1984,0.300322518,B,B,52,10311,6,900.0,1,9,B,189007.23894421052,0,1,0,1,0,1,0,1,0,1,0,1
13253,27,2.0,63.679115983087094,37.275774657400376,6.0,9,15.0,1977,0.017647053,B,B,2,469,0,900.0,0,0,B,178721.70633739038,0,1,0,1,0,1,0,1,0,1,0,1
13905,44,1.0,34.7672268816687,18.209648101536544,6.0,7,9.0,1972,0.036122292,B,B,24,4378,0,1036.0,1,1,B,154928.80993818038,0,1,0,1,0,1,0,1,0,1,0,1
8384,90,2.0,42.17678220950818,28.085689937853193,6.0,2,5.0,1965,0.265088676,B,B,37,5288,0,1937.0,3,2,B,176344.82040566398,0,1,0,1,0,1,0,1,0,1,0,1
6486,200,3.0,85.28038875664878,58.447967179062545,9.0,6,6.0,1960,0.0,B,B,33,7425,1,900.0,2,5,B,402871.91631724115,0,1,0,1,0,1,0,1,0,1,0,1
11703,23,1.0,41.11876598003856,32.78126,6.0,4,17.0,1977,0.075778755,B,B,6,1437,3,900.0,0,2,B,103510.22360146276,0,1,0,1,0,1,0,1,0,1,0,1
14591,43,2.0,43.701661788670734,26.350358249023103,6.0,5,9.0,1961,0.015016892,B,B,17,3079,59,2890.0,0,8,B,287056.01254272985,0,1,0,1,0,1,0,1,0,1,0,1
8224,177,3.0,77.8739361356098,48.99113289942049,12.0,9,25.0,2012,0.0,B,B,36,6714,2,2672.0,0,2,B,191550.1213566216,0,1,0,1,0,1,0,1,0,1,0,1
9371,23,2.0,60.503248324677,32.78126,6.0,16,6.0,1977,0.034656082000000005,B,B,0,168,0,900.0,0,0,B,229778.0579017187,0,1,0,1,0,1,0,1,0,1,0,1
10739,99,2.0,45.257138805377025,32.61382570011897,6.0,4,5.0,1971,0.033493708,B,B,66,10573,1,1322.0,3,8,B,171266.94942738526,0,1,0,1,0,1,0,1,0,1,0,1
1853,101,3.0,58.4198155580721,37.27561392063118,6.0,5,5.0,1963,0.225824954,A,B,41,6558,7,1548.0,3,2,B,197456.9208142761,1,0,0,1,0,1,1,0,0,1,0,1
9833,1,2.0,56.49431782042168,54.72356903322895,6.0,9,17.0,1977,0.007122317,B,B,1,264,0,900.0,0,1,B,196078.90728935658,0,1,0,1,0,1,0,1,0,1,0,1
175,23,2.0,58.692132931238426,32.78126,6.0,16,17.0,1977,0.075778755,B,B,6,1437,3,900.0,0,2,B,184501.01122512695,0,1,0,1,0,1,0,1,0,1,0,1
10521,38,3.0,104.21139562017449,84.47934562017448,6.0,20,6.0,2017,0.060753049,B,B,15,2787,2,520.0,0,7,B,435462.0480700058,0,1,0,1,0,1,0,1,0,1,0,1
7008,21,2.0,48.85174210675611,33.533432105863035,6.0,5,5.0,1970,0.194489265,B,B,47,8004,3,125.0,3,5,B,183826.31652243072,0,1,0,1,0,1,0,1,0,1,0,1
1821,23,2.0,49.929488622133064,32.78126,6.0,9,12.0,1977,0.034656082000000005,B,B,0,168,0,900.0,0,0,B,88464.4253950588,0,1,0,1,0,1,0,1,0,1,0,1
14292,103,1.0,41.53813827372754,23.292934580888872,8.0,7,16.0,1981,0.014423114,B,B,19,3806,4,900.0,0,3,B,234052.26552661308,0,1,0,1,0,1,0,1,0,1,0,1
7596,23,1.0,47.080100247481404,46.80798919400547,12.0,3,9.0,1977,0.014072961,B,B,2,475,0,900.0,0,0,B,96029.16787733519,0,1,0,1,0,1,0,1,0,1,0,1
13393,98,1.0,41.27061351984075,20.45594534035546,7.0,8,14.0,2003,0.195781053,B,B,23,5212,6,900.0,3,2,B,214733.34225833853,0,1,0,1,0,1,0,1,0,1,0,1
2221,170,1.0,35.390235379659565,21.675589451961883,6.0,3,5.0,1963,0.21843974,B,B,21,4472,6,1450.0,4,7,A,172795.8670771811,0,1,0,1,1,0,0,1,0,1,1,0
10103,94,1.0,35.28089402875877,23.35417623467495,6.0,11,6.0,1971,0.282797669,B,B,33,8667,2,900.0,0,6,B,148862.21017433386,0,1,0,1,0,1,0,1,0,1,0,1
2301,1,2.0,61.40005437465901,41.668004374659006,6.0,17,22.0,2016,0.007122317,B,B,1,264,0,900.0,0,1,B,199215.45222932714,0,1,0,1,0,1,0,1,0,1,0,1
6455,44,1.0,31.89348347603991,20.94667055523254,7.0,3,14.0,1973,0.175054867,B,B,36,10055,3,900.0,1,0,B,182946.36203104112,0,1,0,1,0,1,0,1,0,1,0,1
16334,1,1.0,42.41417613853096,32.78126,6.0,14,17.0,1977,0.007122317,B,B,1,264,0,900.0,0,1,B,156476.61434830475,0,1,0,1,0,1,0,1,0,1,0,1
3963,48,3.0,60.49673620327934,38.701932866274475,6.0,4,9.0,1980,0.041124634,B,B,46,9515,5,900.0,1,10,B,276349.9122838608,0,1,0,1,0,1,0,1,0,1,0,1
10065,5,2.0,54.477432041659135,31.149444195768496,7.0,14,22.0,1991,0.150817539,B,B,16,3433,4,2643.0,4,5,B,279119.9134223016,0,1,0,1,0,1,0,1,0,1,0,1
3203,23,2.0,56.21870163187176,32.78126,6.0,3,3.0,1977,0.005767451,B,B,1,388,0,900.0,0,0,B,90303.66568299793,0,1,0,1,0,1,0,1,0,1,0,1
1982,28,1.0,38.007936217693626,23.281713820168363,9.0,1,12.0,1970,0.118537385,B,B,30,6207,1,1183.0,1,0,B,147636.76035604483,0,1,0,1,0,1,0,1,0,1,0,1
12393,11,2.0,57.322494472127154,31.78800632302188,10.0,5,16.0,1980,0.00016967599999999998,B,B,36,5992,0,900.0,1,1,B,242402.234569005,0,1,0,1,0,1,0,1,0,1,0,1
16601,88,2.0,47.31752643089487,31.100516771763807,6.0,6,12.0,1975,0.127375905,B,B,43,8429,3,900.0,3,9,B,207641.6759898469,0,1,0,1,0,1,0,1,0,1,0,1
4191,1,2.0,65.02389875686265,32.78126,6.0,10,17.0,1977,0.007122317,B,B,1,264,0,900.0,0,1,B,197343.7979853104,0,1,0,1,0,1,0,1,0,1,0,1
7619,47,2.0,54.7873237643134,33.512142879434535,8.0,1,12.0,1978,6.99893e-05,B,B,46,10309,1,240.0,1,16,B,100471.95261307227,0,1,0,1,0,1,0,1,0,1,0,1
7605,6,1.0,42.50553193590355,32.78126,6.0,6,12.0,2014,0.243204519,B,B,5,1564,0,540.0,0,0,B,113617.2195706784,0,1,0,1,0,1,0,1,0,1,0,1
9723,52,2.0,64.14115197487071,32.78126,6.0,5,17.0,1977,0.371148999,B,B,34,7065,1,750.0,2,5,B,158148.93648361234,0,1,0,1,0,1,0,1,0,1,0,1
11398,62,1.0,41.19418849786451,32.78126,6.0,6,6.0,1977,0.072157581,B,B,2,629,1,900.0,0,0,A,114063.0920409234,0,1,0,1,1,0,0,1,0,1,1,0
3759,31,2.0,57.95597269122314,32.27257840039711,9.0,17,17.0,2001,0.151346216,B,A,32,5889,10,830.0,4,1,B,339414.5500190396,0,1,1,0,0,1,0,1,1,0,0,1
8443,57,2.0,45.96488978915266,29.141211816173783,6.0,7,6.0,1963,0.13321533300000002,B,B,49,11395,3,1406.0,3,4,A,180538.89892241484,0,1,0,1,1,0,0,1,0,1,1,0
1063,77,1.0,42.67884386982604,23.918634033545928,8.0,14,6.0,1983,6.99893e-05,B,B,46,10309,1,240.0,1,16,B,179784.4733339991,0,1,0,1,0,1,0,1,0,1,0,1
6925,27,2.0,64.92910276079539,63.30460517784749,10.0,15,17.0,2016,0.072157581,B,B,2,629,1,900.0,0,0,A,228584.00107195406,0,1,0,1,1,0,0,1,0,1,1,0
10362,27,2.0,79.22704893716298,32.78126,6.0,9,6.0,1977,0.072157581,B,B,2,629,1,900.0,0,0,A,167023.97314312926,0,1,0,1,1,0,0,1,0,1,1,0
2136,74,2.0,84.68773160202026,81.90555163617604,6.0,12,17.0,2017,0.075778755,B,B,6,1437,3,900.0,0,2,B,243479.876105312,0,1,0,1,0,1,0,1,0,1,0,1
14675,74,1.0,52.45758937232919,52.4233445561041,6.0,18,6.0,1977,0.075778755,B,B,6,1437,3,900.0,0,2,B,160292.1637018166,0,1,0,1,0,1,0,1,0,1,0,1
9413,79,1.0,39.42966643301249,18.519732724337832,9.0,2,16.0,1981,0.16909109,B,B,19,3856,10,900.0,2,5,B,174952.64419069275,0,1,0,1,0,1,0,1,0,1,0,1
4014,6,2.0,63.184422013103685,61.14289377226982,6.0,17,17.0,2016,0.243204519,B,B,5,1564,0,540.0,0,0,B,190762.98155043615,0,1,0,1,0,1,0,1,0,1,0,1
12246,9,1.0,50.299167150679395,24.3496040418,9.0,11,16.0,2006,0.136244425,B,B,11,2370,0,900.0,0,1,B,197101.04908793507,0,1,0,1,0,1,0,1,0,1,0,1
14020,34,1.0,47.90932737998546,42.78238540963264,6.0,2,6.0,2016,0.069753361,B,B,53,13670,4,900.0,1,11,B,181167.64240357085,0,1,0,1,0,1,0,1,0,1,0,1
2435,85,4.0,65.55983414534953,47.696254952296684,6.0,6,9.0,1976,0.037177818,B,B,52,11217,1,2300.0,1,7,B,266989.0161418366,0,1,0,1,0,1,0,1,0,1,0,1
7758,156,1.0,39.24892718662953,21.592325047856093,7.0,13,17.0,2009,0.007658515,B,B,35,7077,56,2301.0,3,19,B,254236.32508556198,0,1,0,1,0,1,0,1,0,1,0,1
12162,69,1.0,39.252554812007496,19.394250723900626,7.0,1,16.0,1985,0.000991363,B,B,33,6783,3,900.0,1,9,B,184737.9210694037,0,1,0,1,0,1,0,1,0,1,0,1
15600,108,2.0,49.888740020585054,31.603650465162,6.0,9,12.0,1974,0.0,B,B,23,3684,2,900.0,0,4,B,261086.02440592513,0,1,0,1,0,1,0,1,0,1,0,1
6832,96,2.0,62.78380934113364,35.222368111513255,10.0,5,10.0,1994,0.041116354,B,B,53,14892,4,900.0,1,4,B,259293.02212247785,0,1,0,1,0,1,0,1,0,1,0,1
2952,169,2.0,58.433607265665074,31.08698930261341,8.0,3,14.0,1970,0.210473241,B,B,11,2398,2,1994.0,3,0,B,116661.59548998011,0,1,0,1,0,1,0,1,0,1,0,1
2855,18,2.0,61.71855284835026,33.0401150131786,10.0,10,11.0,2000,0.0,B,B,30,5562,0,900.0,0,5,A,267609.8272514647,0,1,0,1,1,0,0,1,0,1,1,0
7488,21,1.0,42.5012260708919,22.91573470453811,8.0,2,12.0,1979,0.194489265,B,B,47,8004,3,125.0,3,5,B,153038.21948532813,0,1,0,1,0,1,0,1,0,1,0,1
11248,27,2.0,54.583231282802906,33.320302288938066,11.0,2,9.0,2000,0.041116354,B,B,53,14892,4,900.0,1,4,B,238779.44765093192,0,1,0,1,0,1,0,1,0,1,0,1
9613,148,3.0,127.48158341963554,32.78126,6.0,16,6.0,2012,0.313924552,B,B,22,4625,11,3855.0,2,10,B,510700.4447348914,0,1,0,1,0,1,0,1,0,1,0,1
16674,94,2.0,47.145626414517814,30.738284138231354,6.0,11,6.0,1976,0.127375905,B,B,43,8429,3,900.0,3,9,B,210364.31471895878,0,1,0,1,0,1,0,1,0,1,0,1
3918,41,2.0,48.07704110377844,28.835116601308275,6.0,5,9.0,1968,0.175054867,B,B,36,10055,3,900.0,1,0,B,198183.07691950462,0,1,0,1,0,1,0,1,0,1,0,1
11902,128,2.0,52.08218293973108,34.01705745296253,8.0,7,17.0,1994,0.0,B,B,27,4798,0,30.0,2,8,B,243824.7929712899,0,1,0,1,0,1,0,1,0,1,0,1
13395,10,2.0,50.29076173681866,32.460809440510396,6.0,12,12.0,1973,0.089039719,B,B,33,7976,5,900.0,0,11,B,242107.0978653341,0,1,0,1,0,1,0,1,0,1,0,1
1836,144,2.0,49.0307877478954,31.91889562577639,8.0,2,5.0,1964,0.306977489,B,B,27,5148,14,1575.0,5,7,B,212786.0017001436,0,1,0,1,0,1,0,1,0,1,0,1
1671,120,3.0,58.57037093462771,37.434125981371615,6.0,4,5.0,1961,0.341071945,B,B,27,5664,48,2300.0,3,11,B,305732.5862953504,0,1,0,1,0,1,0,1,0,1,0,1
9558,39,1.0,34.19820977216433,20.981127484293157,6.0,7,9.0,1973,0.428825818,B,B,25,5011,8,730.0,0,2,B,156375.02000227175,0,1,0,1,0,1,0,1,0,1,0,1
13887,7,3.0,74.97105425768765,46.23924761599082,10.0,16,17.0,1987,0.0,B,B,23,5067,4,900.0,2,6,B,415398.5730306261,0,1,0,1,0,1,0,1,0,1,0,1
4280,34,2.0,61.33496777880346,41.60291777880346,6.0,26,6.0,2014,0.069753361,B,B,53,13670,4,900.0,1,11,B,286564.4419718113,0,1,0,1,0,1,0,1,0,1,0,1
14319,27,2.0,58.93727974313555,34.74006979324089,11.0,2,7.0,1998,0.041116354,B,B,53,14892,4,900.0,1,4,B,217349.25658949924,0,1,0,1,0,1,0,1,0,1,0,1
13671,84,3.0,63.72823655447478,38.96093513166355,6.0,9,9.0,1971,0.14966637300000002,B,B,22,4789,2,4087.0,4,1,B,291058.0808994419,0,1,0,1,0,1,0,1,0,1,0,1
9753,23,1.0,41.84569772836166,32.78126,6.0,14,17.0,1977,0.075778755,B,B,6,1437,3,900.0,0,2,B,110620.6293204901,0,1,0,1,0,1,0,1,0,1,0,1
13577,61,1.0,33.646711450929125,21.42355298005255,6.0,8,9.0,1975,0.300322518,B,B,52,10311,6,900.0,1,9,B,165018.9484643495,0,1,0,1,0,1,0,1,0,1,0,1
14756,1,1.0,50.61776843485736,46.505676134063826,6.0,10,24.0,1977,0.007122317,B,B,1,264,0,900.0,0,1,B,175188.95821584578,0,1,0,1,0,1,0,1,0,1,0,1
3973,1,2.0,62.96990315347615,31.74561055395469,10.0,14,14.0,2014,0.007122317,B,B,1,264,0,900.0,0,1,B,92127.0617882676,0,1,0,1,0,1,0,1,0,1,0,1
13957,123,2.0,58.91191808519165,33.6122411146587,9.0,12,17.0,2005,0.0,B,B,47,11319,0,1145.0,3,5,B,274570.7175007904,0,1,0,1,0,1,0,1,0,1,0,1
11765,23,2.0,48.76013224783535,32.78126,6.0,3,3.0,1977,0.034656082000000005,B,B,0,168,0,900.0,0,0,B,113250.42650034721,0,1,0,1,0,1,0,1,0,1,0,1
2930,9,2.0,62.34715418212179,32.78126,6.0,6,6.0,1977,0.161531741,B,B,25,5648,1,30.0,2,4,B,184172.97563930124,0,1,0,1,0,1,0,1,0,1,0,1
6496,1,2.0,53.18796830353497,34.82049795088077,8.0,7,17.0,1990,0.025609157,B,B,33,5261,0,240.0,3,1,B,241419.59687217,0,1,0,1,0,1,0,1,0,1,0,1
8361,57,3.0,64.0151002560132,43.84285219250445,6.0,10,12.0,1984,0.13321533300000002,B,B,49,11395,3,1406.0,3,4,A,270071.6195151077,0,1,0,1,1,0,0,1,0,1,1,0
9970,159,3.0,61.809021596554686,40.44472528024896,6.0,2,9.0,1972,0.015016892,B,B,17,3079,59,2890.0,0,8,B,378581.5411997035,0,1,0,1,0,1,0,1,0,1,0,1
3276,27,2.0,62.224569197974155,58.5039850086156,6.0,8,17.0,2016,0.017647053,B,B,2,469,0,900.0,0,0,B,192625.0493997445,0,1,0,1,0,1,0,1,0,1,0,1
6761,70,2.0,45.592912912750855,27.27845940340863,6.0,3,9.0,1981,0.002211665,B,B,39,7614,3,900.0,1,5,A,201121.07053639015,0,1,0,1,1,0,0,1,0,1,1,0
11448,39,1.0,35.683059286946204,18.662235067338923,7.0,12,12.0,1977,0.428825818,B,B,25,5011,8,730.0,0,2,B,150513.47488734513,0,1,0,1,0,1,0,1,0,1,0,1
12428,94,2.0,39.900424683233375,26.477223105164704,6.0,12,14.0,1982,0.282797669,B,B,33,8667,2,900.0,0,6,B,204804.84335521163,0,1,0,1,0,1,0,1,0,1,0,1
8583,129,3.0,65.68346852974332,43.533322473808525,7.0,11,12.0,1977,0.020741326,B,B,24,5613,5,1340.0,2,5,B,313452.5352345641,0,1,0,1,0,1,0,1,0,1,0,1
2516,3,1.0,42.145274302242434,21.304556088896693,10.0,3,14.0,1984,0.265088676,B,B,37,5288,0,1937.0,3,2,B,225889.6912453254,0,1,0,1,0,1,0,1,0,1,0,1
14635,95,2.0,42.389567415418014,33.06483544074146,6.0,1,5.0,1963,0.0,B,B,7,1660,39,1786.0,1,5,B,224746.81185663465,0,1,0,1,0,1,0,1,0,1,0,1
12377,27,2.0,60.44585456445121,32.78126,6.0,13,6.0,1977,0.072157581,B,B,2,629,1,900.0,0,0,A,213798.18515132746,0,1,0,1,1,0,0,1,0,1,1,0
14571,78,1.0,44.570412123654016,19.485741143328703,10.0,18,24.0,2011,0.092290642,B,B,21,4346,2,165.0,1,2,B,212821.6747251237,0,1,0,1,0,1,0,1,0,1,0,1
3975,1,2.0,65.00927913436703,32.78126,6.0,9,17.0,1977,0.007122317,B,B,1,264,0,900.0,0,1,B,186403.4841889536,0,1,0,1,0,1,0,1,0,1,0,1
14822,18,3.0,76.23513674330522,47.001817296653726,10.0,9,17.0,1997,0.0,B,B,30,5562,0,900.0,0,5,A,293371.9575586355,0,1,0,1,1,0,0,1,0,1,1,0
367,45,1.0,42.367288692851375,40.012528663007295,6.0,16,6.0,2015,0.195781053,B,B,23,5212,6,900.0,3,2,B,250466.98077681608,0,1,0,1,0,1,0,1,0,1,0,1
9703,15,4.0,98.68670312903869,57.307057812964345,15.0,10,17.0,2008,0.158249043,B,B,21,5731,0,900.0,1,0,B,373510.0571282724,0,1,0,1,0,1,0,1,0,1,0,1
10935,121,3.0,60.43816917856879,43.96785075861281,6.0,5,5.0,1965,0.212515361,B,B,19,3293,16,628.0,3,7,B,269680.638174428,0,1,0,1,0,1,0,1,0,1,0,1
5267,49,1.0,43.44426635232809,20.702408895355198,8.0,18,6.0,2010,0.020741326,B,B,24,5613,5,1340.0,2,5,B,168601.97480454494,0,1,0,1,0,1,0,1,0,1,0,1
8753,25,3.0,85.95230644639723,66.22025644639723,6.0,4,6.0,2017,0.069753361,B,B,53,13670,4,900.0,1,11,B,309688.5926806599,0,1,0,1,0,1,0,1,0,1,0,1
11279,19,2.0,74.44137733392219,35.640269014040044,9.0,23,25.0,2004,0.000991363,B,B,33,6783,3,900.0,1,9,B,435909.1097547888,0,1,0,1,0,1,0,1,0,1,0,1
8691,1,2.0,55.2332130691251,32.78126,6.0,13,17.0,1977,0.007122317,B,B,1,264,0,900.0,0,1,B,184324.9008862336,0,1,0,1,0,1,0,1,0,1,0,1
16188,59,2.0,61.50213443093715,33.12142623794768,10.0,5,17.0,1985,0.019508796,B,B,37,7687,11,176.0,5,5,B,354879.4031837641,0,1,0,1,0,1,0,1,0,1,0,1
10337,28,2.0,43.771829534570266,33.24216720327902,6.0,3,9.0,1968,0.118537385,B,B,30,6207,1,1183.0,1,0,B,203425.39606435495,0,1,0,1,0,1,0,1,0,1,0,1
12087,2,3.0,60.15940612151951,46.35452671851282,6.0,4,9.0,1968,0.309479124,B,B,35,7715,4,990.0,0,6,B,317296.3052996641,0,1,0,1,0,1,0,1,0,1,0,1
6072,6,1.0,65.10201679019049,64.62260302448165,6.0,10,6.0,2015,0.243204519,B,B,5,1564,0,540.0,0,0,B,175899.97828362975,0,1,0,1,0,1,0,1,0,1,0,1
6600,96,1.0,35.99013769288014,18.12583002371395,6.0,1,9.0,1978,0.041116354,B,B,53,14892,4,900.0,1,4,B,155312.29482522552,0,1,0,1,0,1,0,1,0,1,0,1
10726,27,3.0,89.6929642467968,87.62381427680403,6.0,13,6.0,1977,0.072157581,B,B,2,629,1,900.0,0,0,A,265978.8377804947,0,1,0,1,1,0,0,1,0,1,1,0
3428,108,3.0,110.20396948700356,59.27070227635576,12.0,19,28.0,2007,0.019508796,B,B,37,7687,11,176.0,5,5,B,146061.7305650271,0,1,0,1,0,1,0,1,0,1,0,1
15386,127,2.0,45.92367266158226,26.177752782849087,6.0,3,5.0,1967,0.486245621,B,B,13,2514,19,900.0,0,6,B,176480.46517329663,0,1,0,1,0,1,0,1,0,1,0,1
12613,6,2.0,65.49667436641931,45.76462436641931,6.0,5,17.0,1977,0.243204519,B,B,5,1564,0,540.0,0,0,B,180727.64354109476,0,1,0,1,0,1,0,1,0,1,0,1
3749,85,1.0,42.19894558704247,20.794835924374308,10.0,16,22.0,1987,0.037177818,B,B,52,11217,1,2300.0,1,7,B,87182.52338492699,0,1,0,1,0,1,0,1,0,1,0,1
6172,27,2.0,92.40000684071423,92.06923622776027,10.0,2,5.0,1977,0.07542368,B,B,11,3097,0,900.0,0,0,B,116942.67104480596,0,1,0,1,0,1,0,1,0,1,0,1
8173,56,1.0,40.812877553246935,23.09788779329753,10.0,10,22.0,1999,0.0,B,B,23,5067,4,900.0,2,6,B,292718.3126005229,0,1,0,1,0,1,0,1,0,1,0,1
14901,31,2.0,62.30129218800013,30.388568968400406,10.0,11,12.0,2008,0.151346216,B,A,32,5889,10,830.0,4,1,B,427526.00361512345,0,1,1,0,0,1,0,1,1,0,0,1
9742,1,2.0,63.672610618053405,32.78126,6.0,11,17.0,1977,0.007122317,B,B,1,264,0,900.0,0,1,B,194510.14788951524,0,1,0,1,0,1,0,1,0,1,0,1
